Main Demographics (Target Audience)
Word,Description
Shonen,"Made for young teen boys (ages 12 to 18), focusing on action, friendship, and growing strong. Famous examples: Naruto and One Piece."
Shojo,"Made for young teen girls (ages 12 to 18), focusing on romance, school life, and big emotions. Famous examples: Sailor Moon and Fruits Basket."
Seinen,"Made for adult men (ages 18+), featuring darker plots, deep psychology, or heavy violence. Famous examples: Berserk and Vinland Saga."
Josei,"Made for adult women (ages 18+), showing realistic romance and everyday life issues. Famous examples: Paradise Kiss."
Kodomomuke,"Made for young children, with bright, fun, and easy lessons. Famous examples: Pokémon and Doraemon."

Popular Story Genres
Word,Description
Isekai,Stories where a normal person gets sent or reborn into a fantasy world. Example: Sword Art Online.
Mecha,Shows featuring battles with giant robots. Example: Mobile Suit Gundam.
Slice of Life,Relaxing shows about everyday life and normal moments. Example: K-On!.
Fantasy / Action,"Worlds filled with magic, monsters, and heavy fights. Example: Demon Slayer."
Other,"Doesn't clearly fit the four genre buckets above (e.g. sports, mystery, historical, sci-fi drama, crime)."
